pruid,prname,prnameFR,date,numconf,numprob,numdeaths,numtotal,numtoday,ratetotal
35,Ontario,Ontario,2020-01-31,3,0,0,3,3,0.02
59,British Columbia,Colombie-Britannique,2020-01-31,1,0,0,1,1,0.02
35,Ontario,Ontario,2020-02-08,3,0,0,3,0,0.02
59,British Columbia,Colombie-Britannique,2020-02-08,4,0,0,4,3,0.08
1,Canada,Canada,2020-02-08,7,0,0,7,3,0.02
59,British Columbia,Colombie-Britannique,2020-02-16,5,0,0,5,1,0.1
1,Canada,Canada,2020-02-16,8,0,0,8,1,0.02
35,Ontario,Ontario,2020-02-21,3,0,0,3,0,0.02
59,British Columbia,Colombie-Britannique,2020-02-21,6,0,0,6,1,0.12
1,Canada,Canada,2020-02-21,9,0,0,9,1,0.02
35,Ontario,Ontario,2020-02-24,4,0,0,4,1,0.03
59,British Columbia,Colombie-Britannique,2020-02-24,6,0,0,6,0,0.12
1,Canada,Canada,2020-02-24,10,0,0,10,1,0.03
35,Ontario,Ontario,2020-02-25,4,0,0,4,0,0.03
59,British Columbia,Colombie-Britannique,2020-02-25,7,0,0,7,1,0.14
1,Canada,Canada,2020-02-25,11,0,0,11,1,0.03
35,Ontario,Ontario,2020-02-26,5,0,0,5,1,0.03
59,British Columbia,Colombie-Britannique,2020-02-26,7,0,0,7,0,0.14
1,Canada,Canada,2020-02-26,12,0,0,12,1,0.03
35,Ontario,Ontario,2020-02-27,6,0,0,6,1,0.04
59,British Columbia,Colombie-Britannique,2020-02-27,7,0,0,7,0,0.14
1,Canada,Canada,2020-02-27,13,0,0,13,1,0.03
35,Ontario,Ontario,2020-02-29,8,0,0,8,2,0.05
59,British Columbia,Colombie-Britannique,2020-02-29,7,0,0,7,0,0.14
1,Canada,Canada,2020-02-29,15,0,0,15,2,0.04
35,Ontario,Ontario,2020-03-01,15,0,0,15,7,0.1
59,British Columbia,Colombie-Britannique,2020-03-01,8,0,0,8,1,0.16
24,Quebec,Québec,2020-03-01,1,0,0,1,1,0.01
1,Canada,Canada,2020-03-01,24,0,0,24,9,0.06
35,Ontario,Ontario,2020-03-03,20,0,0,20,5,0.14
59,British Columbia,Colombie-Britannique,2020-03-03,12,0,0,12,4,0.24
24,Quebec,Québec,2020-03-03,1,0,0,1,0,0.01
1,Canada,Canada,2020-03-03,33,0,0,33,9,0.09
35,Ontario,Ontario,2020-03-05,22,0,0,22,2,0.15
59,British Columbia,Colombie-Britannique,2020-03-05,21,0,0,21,9,0.41
24,Quebec,Québec,2020-03-05,2,0,0,2,1,0.02
1,Canada,Canada,2020-03-05,45,0,0,45,12,0.12
35,Ontario,Ontario,2020-03-06,28,0,0,28,6,0.19
59,British Columbia,Colombie-Britannique,2020-03-06,21,0,0,21,0,0.41
24,Quebec,Québec,2020-03-06,2,0,0,2,0,0.02
1,Canada,Canada,2020-03-06,51,0,0,51,6,0.14
35,Ontario,Ontario,2020-03-07,28,0,0,28,0,0.19
59,British Columbia,Colombie-Britannique,2020-03-07,27,0,0,27,6,0.53
24,Quebec,Québec,2020-03-07,2,0,0,2,0,0.02
1,Canada,Canada,2020-03-07,57,0,0,57,6,0.15
35,Ontario,Ontario,2020-03-08,31,0,0,31,3,0.21
59,British Columbia,Colombie-Britannique,2020-03-08,27,0,1,27,0,0.53
24,Quebec,Québec,2020-03-08,3,0,0,3,1,0.04
48,Alberta,Alberta,2020-03-08,1,0,0,1,1,0.02
1,Canada,Canada,2020-03-08,62,0,1,62,5,0.16
35,Ontario,Ontario,2020-03-09,34,0,0,34,3,0.23
59,British Columbia,Colombie-Britannique,2020-03-09,32,0,1,32,5,0.63
24,Quebec,Québec,2020-03-09,4,0,0,4,1,0.05
48,Alberta,Alberta,2020-03-09,7,0,0,7,6,0.16
1,Canada,Canada,2020-03-09,77,0,1,77,15,0.2
59,British Columbia,Colombie-Britannique,2020-03-11,39,0,1,39,7,0.77
48,Alberta,Alberta,2020-03-11,14,0,0,14,7,0.32
47,Saskatchewan,Saskatchewan,2020-03-11,0,0,0,0,0,0.0
46,Manitoba,Manitoba,2020-03-11,0,0,0,0,0,0.0
35,Ontario,Ontario,2020-03-11,42,0,1,42,8,0.29
24,Quebec,Québec,2020-03-11,7,0,0,7,3,0.08
13,New Brunswick,Nouveau-Brunswick,2020-03-11,0,0,0,0,0,0.0
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-03-11,0,0,0,0,0,0.0
12,Nova Scotia,Nouvelle-Écosse,2020-03-11,0,0,0,0,0,0.0
11,Prince Edward Island,Île-du-Prince-Édouard,2020-03-11,0,0,0,0,0,0.0
61,Northwest Territories,Territoires du Nord-Ouest,2020-03-11,0,0,0,0,0,0.0
62,Nunavut,Nunavut,2020-03-11,0,0,0,0,0,0.0
60,Yukon,Yukon,2020-03-11,0,0,0,0,0,0.0
99,Repatriated travellers,Voyageurs rapatriés,2020-03-11,1,0,0,1,1,
1,Canada,Canada,2020-03-11,103,0,2,103,26,0.27
59,British Columbia,Colombie-Britannique,2020-03-12,46,0,1,46,7,0.91
48,Alberta,Alberta,2020-03-12,19,0,0,19,5,0.43
47,Saskatchewan,Saskatchewan,2020-03-12,0,1,0,1,1,0.09
46,Manitoba,Manitoba,2020-03-12,0,1,0,1,1,0.07
35,Ontario,Ontario,2020-03-12,59,0,1,59,17,0.41
24,Quebec,Québec,2020-03-12,13,0,0,13,6,0.15
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-03-12,0,0,0,0,0,0.0
13,New Brunswick,Nouveau-Brunswick,2020-03-12,0,1,0,1,1,0.13
12,Nova Scotia,Nouvelle-Écosse,2020-03-12,0,0,0,0,0,0.0
11,Prince Edward Island,Île-du-Prince-Édouard,2020-03-12,0,0,0,0,0,0.0
60,Yukon,Yukon,2020-03-12,0,0,0,0,0,0.0
61,Northwest Territories,Territoires du Nord-Ouest,2020-03-12,0,0,0,0,0,0.0
62,Nunavut,Nunavut,2020-03-12,0,0,0,0,0,0.0
99,Repatriated travellers,Voyageurs rapatriés,2020-03-12,1,0,0,1,0,
1,Canada,Canada,2020-03-12,138,3,2,141,38,0.38
59,British Columbia,Colombie-Britannique,2020-03-13,53,0,1,53,7,1.05
48,Alberta,Alberta,2020-03-13,23,0,0,23,4,0.53
47,Saskatchewan,Saskatchewan,2020-03-13,0,1,0,1,0,0.09
46,Manitoba,Manitoba,2020-03-13,1,2,0,3,2,0.22
35,Ontario,Ontario,2020-03-13,79,0,1,79,20,0.54
24,Quebec,Québec,2020-03-13,17,0,0,17,4,0.2
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-03-13,0,0,0,0,0,0.0
13,New Brunswick,Nouveau-Brunswick,2020-03-13,1,0,0,1,0,0.13
12,Nova Scotia,Nouvelle-Écosse,2020-03-13,0,0,0,0,0,0.0
11,Prince Edward Island,Île-du-Prince-Édouard,2020-03-13,0,0,0,0,0,0.0
60,Yukon,Yukon,2020-03-13,0,0,0,0,0,0.0
61,Northwest Territories,Territoires du Nord-Ouest,2020-03-13,0,0,0,0,0,0.0
62,Nunavut,Nunavut,2020-03-13,0,0,0,0,0,0.0
99,Repatriated travellers,Voyageurs rapatriés,2020-03-13,2,0,0,2,1,
1,Canada,Canada,2020-03-13,176,3,2,179,38,0.48
59,British Columbia,Colombie-Britannique,2020-03-14,64,0,1,64,11,1.26
48,Alberta,Alberta,2020-03-14,29,0,0,29,6,0.66
47,Saskatchewan,Saskatchewan,2020-03-14,0,2,0,2,1,0.17
46,Manitoba,Manitoba,2020-03-14,1,3,0,4,1,0.29
35,Ontario,Ontario,2020-03-14,79,0,1,79,0,0.54
24,Quebec,Québec,2020-03-14,17,0,0,17,0,0.2
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-03-14,0,0,0,0,0,0.0
13,New Brunswick,Nouveau-Brunswick,2020-03-14,1,1,0,2,1,0.26
12,Nova Scotia,Nouvelle-Écosse,2020-03-14,0,0,0,0,0,0.0
11,Prince Edward Island,Île-du-Prince-Édouard,2020-03-14,0,0,0,0,0,0.0
60,Yukon,Yukon,2020-03-14,0,0,0,0,0,0.0
61,Northwest Territories,Territoires du Nord-Ouest,2020-03-14,0,0,0,0,0,0.0
62,Nunavut,Nunavut,2020-03-14,0,0,0,0,0,0.0
99,Repatriated travellers,Voyageurs rapatriés,2020-03-14,2,0,0,2,0,
1,Canada,Canada,2020-03-14,193,6,2,199,20,0.53
59,British Columbia,Colombie-Britannique,2020-03-15,73,0,1,73,9,1.44
48,Alberta,Alberta,2020-03-15,39,0,0,39,10,0.89
47,Saskatchewan,Saskatchewan,2020-03-15,0,2,0,2,0,0.17
46,Manitoba,Manitoba,2020-03-15,4,0,0,4,0,0.29
35,Ontario,Ontario,2020-03-15,103,0,1,103,24,0.71
24,Quebec,Québec,2020-03-15,24,0,0,24,7,0.28
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-03-15,0,1,0,1,1,0.19
13,New Brunswick,Nouveau-Brunswick,2020-03-15,1,1,0,2,0,0.26
12,Nova Scotia,Nouvelle-Écosse,2020-03-15,0,0,0,0,0,0.0
11,Prince Edward Island,Île-du-Prince-Édouard,2020-03-15,1,0,0,1,1,0.64
60,Yukon,Yukon,2020-03-15,0,0,0,0,0,0.0
61,Northwest Territories,Territoires du Nord-Ouest,2020-03-15,0,0,0,0,0,0.0
62,Nunavut,Nunavut,2020-03-15,0,0,0,0,0,0.0
99,Repatriated travellers,Voyageurs rapatriés,2020-03-15,4,0,0,4,2,
1,Canada,Canada,2020-03-15,249,4,2,253,54,0.67
59,British Columbia,Colombie-Britannique,2020-03-16,73,0,4,73,0,1.44
48,Alberta,Alberta,2020-03-16,56,0,0,56,17,1.28
47,Saskatchewan,Saskatchewan,2020-03-16,1,5,0,6,4,0.51
46,Manitoba,Manitoba,2020-03-16,4,3,0,7,3,0.51
35,Ontario,Ontario,2020-03-16,145,0,1,145,42,1.0
24,Quebec,Québec,2020-03-16,39,0,0,39,15,0.46
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-03-16,0,1,0,1,0,0.19
13,New Brunswick,Nouveau-Brunswick,2020-03-16,1,5,0,6,4,0.77
12,Nova Scotia,Nouvelle-Écosse,2020-03-16,0,3,0,3,3,0.31
11,Prince Edward Island,Île-du-Prince-Édouard,2020-03-16,1,0,0,1,0,0.64
60,Yukon,Yukon,2020-03-16,0,0,0,0,0,0.0
61,Northwest Territories,Territoires du Nord-Ouest,2020-03-16,0,0,0,0,0,0.0
62,Nunavut,Nunavut,2020-03-16,0,0,0,0,0,0.0
99,Repatriated travellers,Voyageurs rapatriés,2020-03-16,4,0,0,4,0,
1,Canada,Canada,2020-03-16,324,17,5,341,88,0.91
59,British Columbia,Colombie-Britannique,2020-03-17,103,0,7,103,30,2.03
48,Alberta,Alberta,2020-03-17,74,0,0,74,18,1.69
47,Saskatchewan,Saskatchewan,2020-03-17,2,5,0,7,1,0.6
46,Manitoba,Manitoba,2020-03-17,7,0,0,7,0,0.51
35,Ontario,Ontario,2020-03-17,177,0,1,177,32,1.22
24,Quebec,Québec,2020-03-17,50,0,0,50,11,0.59
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-03-17,0,1,0,1,0,0.19
13,New Brunswick,Nouveau-Brunswick,2020-03-17,2,5,0,7,1,0.9
12,Nova Scotia,Nouvelle-Écosse,2020-03-17,0,5,0,5,2,0.51
11,Prince Edward Island,Île-du-Prince-Édouard,2020-03-17,1,0,0,1,0,0.64
60,Yukon,Yukon,2020-03-17,0,0,0,0,0,0.0
61,Northwest Territories,Territoires du Nord-Ouest,2020-03-17,0,0,0,0,0,0.0
62,Nunavut,Nunavut,2020-03-17,0,0,0,0,0,0.0
99,Repatriated travellers,Voyageurs rapatriés,2020-03-17,8,0,0,8,4,
1,Canada,Canada,2020-03-17,424,16,8,440,99,1.17
59,British Columbia,Colombie-Britannique,2020-03-18,186,0,7,186,83,3.67
48,Alberta,Alberta,2020-03-18,97,0,0,97,23,2.22
47,Saskatchewan,Saskatchewan,2020-03-18,2,6,0,8,1,0.68
46,Manitoba,Manitoba,2020-03-18,8,7,0,15,8,1.1
35,Ontario,Ontario,2020-03-18,189,0,1,189,12,1.3
24,Quebec,Québec,2020-03-18,74,0,1,74,24,0.87
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-03-18,0,3,0,3,2,0.58
13,New Brunswick,Nouveau-Brunswick,2020-03-18,2,6,0,8,1,1.03
12,Nova Scotia,Nouvelle-Écosse,2020-03-18,1,6,0,7,2,0.72
11,Prince Edward Island,Île-du-Prince-Édouard,2020-03-18,1,0,0,1,0,0.64
60,Yukon,Yukon,2020-03-18,0,0,0,0,0,0.0
61,Northwest Territories,Territoires du Nord-Ouest,2020-03-18,0,0,0,0,0,0.0
62,Nunavut,Nunavut,2020-03-18,0,0,0,0,0,0.0
99,Repatriated travellers,Voyageurs rapatriés,2020-03-18,9,0,0,9,1,
1,Canada,Canada,2020-03-18,569,28,9,597,157,1.59
59,British Columbia,Colombie-Britannique,2020-03-19,271,0,8,271,85,5.34
48,Alberta,Alberta,2020-03-19,146,0,1,146,49,3.34
47,Saskatchewan,Saskatchewan,2020-03-19,8,12,0,20,12,1.7
46,Manitoba,Manitoba,2020-03-19,17,0,0,17,2,1.24
35,Ontario,Ontario,2020-03-19,258,0,2,258,69,1.77
24,Quebec,Québec,2020-03-19,121,0,1,121,47,1.43
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-03-19,1,2,0,3,0,0.58
13,New Brunswick,Nouveau-Brunswick,2020-03-19,7,4,0,11,3,1.42
12,Nova Scotia,Nouvelle-Écosse,2020-03-19,5,9,0,14,7,1.44
11,Prince Edward Island,Île-du-Prince-Édouard,2020-03-19,2,0,0,2,1,1.27
60,Yukon,Yukon,2020-03-19,0,0,0,0,0,0.0
61,Northwest Territories,Territoires du Nord-Ouest,2020-03-19,0,0,0,0,0,0.0
62,Nunavut,Nunavut,2020-03-19,0,0,0,0,0,0.0
99,Repatriated travellers,Voyageurs rapatriés,2020-03-19,10,0,0,10,1,
1,Canada,Canada,2020-03-19,846,27,12,873,276,2.32
59,British Columbia,Colombie-Britannique,2020-03-20,271,0,9,271,0,5.34
48,Alberta,Alberta,2020-03-20,195,0,1,195,49,4.46
47,Saskatchewan,Saskatchewan,2020-03-20,8,18,0,26,6,2.21
46,Manitoba,Manitoba,2020-03-20,17,0,0,17,0,1.24
35,Ontario,Ontario,2020-03-20,311,0,2,311,53,2.14
24,Quebec,Québec,2020-03-20,139,0,1,139,18,1.64
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-03-20,3,1,0,4,1,0.77
13,New Brunswick,Nouveau-Brunswick,2020-03-20,7,4,0,11,0,1.42
12,Nova Scotia,Nouvelle-Écosse,2020-03-20,5,10,0,15,1,1.54
11,Prince Edward Island,Île-du-Prince-Édouard,2020-03-20,2,0,0,2,0,1.27
60,Yukon,Yukon,2020-03-20,0,0,0,0,0,0.0
61,Northwest Territories,Territoires du Nord-Ouest,2020-03-20,0,0,0,0,0,0.0
62,Nunavut,Nunavut,2020-03-20,0,0,0,0,0,0.0
99,Repatriated travellers,Voyageurs rapatriés,2020-03-20,13,0,0,13,3,
1,Canada,Canada,2020-03-20,971,33,13,1004,131,2.67
59,British Columbia,Colombie-Britannique,2020-03-21,424,0,10,424,153,8.36
48,Alberta,Alberta,2020-03-21,226,0,1,226,31,5.17
47,Saskatchewan,Saskatchewan,2020-03-21,25,19,0,44,18,3.75
46,Manitoba,Manitoba,2020-03-21,11,8,0,19,2,1.39
35,Ontario,Ontario,2020-03-21,377,0,3,377,66,2.59
24,Quebec,Québec,2020-03-21,202,19,4,221,82,2.6
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-03-21,3,3,0,6,2,1.15
13,New Brunswick,Nouveau-Brunswick,2020-03-21,9,8,0,17,6,2.19
12,Nova Scotia,Nouvelle-Écosse,2020-03-21,9,12,0,21,6,2.16
11,Prince Edward Island,Île-du-Prince-Édouard,2020-03-21,2,0,0,2,0,1.27
60,Yukon,Yukon,2020-03-21,0,0,0,0,0,0.0
61,Northwest Territories,Territoires du Nord-Ouest,2020-03-21,1,0,0,1,1,2.23
62,Nunavut,Nunavut,2020-03-21,0,0,0,0,0,0.0
99,Repatriated travellers,Voyageurs rapatriés,2020-03-21,13,0,0,13,0,
1,Canada,Canada,2020-03-21,1302,69,18,1371,367,3.65
59,British Columbia,Colombie-Britannique,2020-03-22,424,0,10,424,0,8.36
48,Alberta,Alberta,2020-03-22,259,0,1,259,33,5.92
47,Saskatchewan,Saskatchewan,2020-03-22,33,19,0,52,8,4.43
46,Manitoba,Manitoba,2020-03-22,11,8,0,19,0,1.39
35,Ontario,Ontario,2020-03-22,425,0,5,425,48,2.92
24,Quebec,Québec,2020-03-22,221,0,4,221,0,2.6
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-03-22,3,6,0,9,3,1.73
13,New Brunswick,Nouveau-Brunswick,2020-03-22,9,8,0,17,0,2.19
12,Nova Scotia,Nouvelle-Écosse,2020-03-22,28,0,0,28,7,2.88
11,Prince Edward Island,Île-du-Prince-Édouard,2020-03-22,3,0,0,3,1,1.91
60,Yukon,Yukon,2020-03-22,0,0,0,0,0,0.0
61,Northwest Territories,Territoires du Nord-Ouest,2020-03-22,1,0,0,1,0,2.23
62,Nunavut,Nunavut,2020-03-22,0,0,0,0,0,0.0
99,Repatriated travellers,Voyageurs rapatriés,2020-03-22,13,0,0,13,0,
1,Canada,Canada,2020-03-22,1430,41,20,1471,100,3.91
59,British Columbia,Colombie-Britannique,2020-03-23,472,0,13,472,48,9.31
48,Alberta,Alberta,2020-03-23,301,0,1,301,42,6.89
47,Saskatchewan,Saskatchewan,2020-03-23,65,1,0,66,14,5.62
46,Manitoba,Manitoba,2020-03-23,11,9,0,20,1,1.46
35,Ontario,Ontario,2020-03-23,503,0,6,503,78,3.45
24,Quebec,Québec,2020-03-23,221,407,4,628,407,7.4
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-03-23,4,20,0,24,15,4.6
13,New Brunswick,Nouveau-Brunswick,2020-03-23,9,8,0,17,0,2.19
12,Nova Scotia,Nouvelle-Écosse,2020-03-23,41,0,0,41,13,4.22
11,Prince Edward Island,Île-du-Prince-Édouard,2020-03-23,3,0,0,3,0,1.91
60,Yukon,Yukon,2020-03-23,2,0,0,2,2,4.9
61,Northwest Territories,Territoires du Nord-Ouest,2020-03-23,1,0,0,1,0,2.23
62,Nunavut,Nunavut,2020-03-23,0,0,0,0,0,0.0
99,Repatriated travellers,Voyageurs rapatriés,2020-03-23,13,0,0,13,0,
1,Canada,Canada,2020-03-23,1646,445,24,2091,620,5.56
59,British Columbia,Colombie-Britannique,2020-03-24,617,0,13,617,145,12.17
48,Alberta,Alberta,2020-03-24,358,0,2,358,57,8.19
47,Saskatchewan,Saskatchewan,2020-03-24,72,0,0,72,6,6.13
46,Manitoba,Manitoba,2020-03-24,11,10,0,21,1,1.53
35,Ontario,Ontario,2020-03-24,588,0,8,588,85,4.04
24,Quebec,Québec,2020-03-24,221,792,4,1013,385,11.94
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-03-24,4,31,0,35,11,6.71
13,New Brunswick,Nouveau-Brunswick,2020-03-24,18,0,0,18,1,2.32
12,Nova Scotia,Nouvelle-Écosse,2020-03-24,51,0,0,51,10,5.25
11,Prince Edward Island,Île-du-Prince-Édouard,2020-03-24,3,0,0,3,0,1.91
60,Yukon,Yukon,2020-03-24,2,0,0,2,0,4.9
61,Northwest Territories,Territoires du Nord-Ouest,2020-03-24,1,0,0,1,0,2.23
62,Nunavut,Nunavut,2020-03-24,0,0,0,0,0,0.0
99,Repatriated travellers,Voyageurs rapatriés,2020-03-24,13,0,0,13,0,
1,Canada,Canada,2020-03-24,1959,833,27,2792,701,7.43
59,British Columbia,Colombie-Britannique,2020-03-25,659,0,14,659,42,12.99
48,Alberta,Alberta,2020-03-25,419,0,2,419,61,9.59
47,Saskatchewan,Saskatchewan,2020-03-25,86,0,0,86,14,7.32
46,Manitoba,Manitoba,2020-03-25,11,24,0,35,14,2.56
35,Ontario,Ontario,2020-03-25,688,0,13,688,100,4.72
24,Quebec,Québec,2020-03-25,1339,0,6,1339,326,15.78
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-03-25,67,0,0,67,32,12.85
13,New Brunswick,Nouveau-Brunswick,2020-03-25,26,0,0,26,8,3.35
12,Nova Scotia,Nouvelle-Écosse,2020-03-25,68,0,0,68,17,7.0
11,Prince Edward Island,Île-du-Prince-Édouard,2020-03-25,5,0,0,5,2,3.19
60,Yukon,Yukon,2020-03-25,3,0,0,3,1,7.34
61,Northwest Territories,Territoires du Nord-Ouest,2020-03-25,1,0,0,1,0,2.23
62,Nunavut,Nunavut,2020-03-25,0,0,0,0,0,0.0
99,Repatriated travellers,Voyageurs rapatriés,2020-03-25,13,0,0,13,0,
1,Canada,Canada,2020-03-25,3385,24,35,3409,617,9.07
59,British Columbia,Colombie-Britannique,2020-03-26,725,0,14,725,66,14.3
48,Alberta,Alberta,2020-03-26,486,0,2,486,67,11.12
47,Saskatchewan,Saskatchewan,2020-03-26,95,0,0,95,9,8.09
46,Manitoba,Manitoba,2020-03-26,11,25,0,36,1,2.63
35,Ontario,Ontario,2020-03-26,858,0,15,858,170,5.89
24,Quebec,Québec,2020-03-26,1629,0,8,1629,290,19.2
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-03-26,82,0,0,82,15,15.72
13,New Brunswick,Nouveau-Brunswick,2020-03-26,33,0,0,33,7,4.25
12,Nova Scotia,Nouvelle-Écosse,2020-03-26,73,0,0,73,5,7.51
11,Prince Edward Island,Île-du-Prince-Édouard,2020-03-26,9,0,0,9,4,5.73
60,Yukon,Yukon,2020-03-26,3,0,0,3,0,7.34
61,Northwest Territories,Territoires du Nord-Ouest,2020-03-26,1,0,0,1,0,2.23
62,Nunavut,Nunavut,2020-03-26,0,0,0,0,0,0.0
99,Repatriated travellers,Voyageurs rapatriés,2020-03-26,13,0,0,13,0,
1,Canada,Canada,2020-03-26,4018,25,39,4043,634,10.76
59,British Columbia,Colombie-Britannique,2020-03-27,725,0,14,725,0,14.3
48,Alberta,Alberta,2020-03-27,542,0,2,542,56,12.4
47,Saskatchewan,Saskatchewan,2020-03-27,104,0,0,104,9,8.86
46,Manitoba,Manitoba,2020-03-27,25,14,1,39,3,2.85
35,Ontario,Ontario,2020-03-27,993,0,18,993,135,6.82
24,Quebec,Québec,2020-03-27,2021,0,18,2021,392,23.82
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-03-27,102,0,0,102,20,19.56
13,New Brunswick,Nouveau-Brunswick,2020-03-27,45,0,0,45,12,5.79
12,Nova Scotia,Nouvelle-Écosse,2020-03-27,90,0,0,90,17,9.27
11,Prince Edward Island,Île-du-Prince-Édouard,2020-03-27,11,0,0,11,2,7.01
60,Yukon,Yukon,2020-03-27,3,0,0,3,0,7.34
61,Northwest Territories,Territoires du Nord-Ouest,2020-03-27,1,0,0,1,0,2.23
62,Nunavut,Nunavut,2020-03-27,0,0,0,0,0,0.0
99,Repatriated travellers,Voyageurs rapatriés,2020-03-27,13,0,0,13,0,
1,Canada,Canada,2020-03-27,4675,14,53,4689,646,12.47
59,British Columbia,Colombie-Britannique,2020-03-28,884,0,16,884,159,17.43
48,Alberta,Alberta,2020-03-28,542,0,2,542,0,12.4
47,Saskatchewan,Saskatchewan,2020-03-28,134,0,0,134,30,11.41
46,Manitoba,Manitoba,2020-03-28,25,39,1,64,25,4.67
35,Ontario,Ontario,2020-03-28,993,0,18,993,0,6.82
24,Quebec,Québec,2020-03-28,2498,0,22,2498,477,29.44
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-03-28,120,0,0,120,18,23.01
13,New Brunswick,Nouveau-Brunswick,2020-03-28,51,0,0,51,6,6.57
12,Nova Scotia,Nouvelle-Écosse,2020-03-28,110,0,0,110,20,11.32
11,Prince Edward Island,Île-du-Prince-Édouard,2020-03-28,11,0,0,11,0,7.01
60,Yukon,Yukon,2020-03-28,4,0,0,4,1,9.79
61,Northwest Territories,Territoires du Nord-Ouest,2020-03-28,1,0,0,1,0,2.23
62,Nunavut,Nunavut,2020-03-28,0,0,0,0,0,0.0
99,Repatriated travellers,Voyageurs rapatriés,2020-03-28,13,0,0,13,0,
1,Canada,Canada,2020-03-28,5386,39,59,5425,736,14.43
59,British Columbia,Colombie-Britannique,2020-03-29,884,0,17,884,0,17.43
48,Alberta,Alberta,2020-03-29,621,0,2,621,79,14.21
47,Saskatchewan,Saskatchewan,2020-03-29,134,0,0,134,0,11.41
46,Manitoba,Manitoba,2020-03-29,69,3,1,72,8,5.26
35,Ontario,Ontario,2020-03-29,1355,0,19,1355,362,9.3
24,Quebec,Québec,2020-03-29,2840,0,22,2840,342,33.47
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-03-29,135,0,0,135,15,25.88
13,New Brunswick,Nouveau-Brunswick,2020-03-29,66,0,0,66,15,8.5
12,Nova Scotia,Nouvelle-Écosse,2020-03-29,122,0,0,122,12,12.56
11,Prince Edward Island,Île-du-Prince-Édouard,2020-03-29,11,0,0,11,0,7.01
60,Yukon,Yukon,2020-03-29,4,0,0,4,0,9.79
61,Northwest Territories,Territoires du Nord-Ouest,2020-03-29,1,0,0,1,0,2.23
62,Nunavut,Nunavut,2020-03-29,0,0,0,0,0,0.0
99,Repatriated travellers,Voyageurs rapatriés,2020-03-29,13,0,0,13,0,
1,Canada,Canada,2020-03-29,6255,3,61,6258,833,16.65
59,British Columbia,Colombie-Britannique,2020-03-30,960,0,19,960,76,18.93
48,Alberta,Alberta,2020-03-30,690,0,8,690,69,15.78
47,Saskatchewan,Saskatchewan,2020-03-30,175,0,2,175,41,14.9
46,Manitoba,Manitoba,2020-03-30,83,13,1,96,24,7.01
35,Ontario,Ontario,2020-03-30,1706,0,33,1706,351,11.71
24,Quebec,Québec,2020-03-30,3430,0,25,3430,590,40.42
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-03-30,148,0,1,148,13,28.38
13,New Brunswick,Nouveau-Brunswick,2020-03-30,68,0,0,68,2,8.75
12,Nova Scotia,Nouvelle-Écosse,2020-03-30,127,0,0,127,5,13.07
11,Prince Edward Island,Île-du-Prince-Édouard,2020-03-30,18,0,0,18,7,11.47
60,Yukon,Yukon,2020-03-30,5,0,0,5,1,12.24
61,Northwest Territories,Territoires du Nord-Ouest,2020-03-30,1,0,0,1,0,2.23
62,Nunavut,Nunavut,2020-03-30,0,0,0,0,0,0.0
99,Repatriated travellers,Voyageurs rapatriés,2020-03-30,13,0,0,13,0,
1,Canada,Canada,2020-03-30,7424,13,89,7437,1179,19.78
59,British Columbia,Colombie-Britannique,2020-03-31,970,0,19,970,10,19.13
48,Alberta,Alberta,2020-03-31,754,0,9,754,64,17.25
47,Saskatchewan,Saskatchewan,2020-03-31,184,0,2,184,9,15.67
46,Manitoba,Manitoba,2020-03-31,91,12,1,103,7,7.52
35,Ontario,Ontario,2020-03-31,1966,0,33,1966,260,13.5
24,Quebec,Québec,2020-03-31,4162,0,31,4162,732,49.05
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-03-31,152,0,1,152,4,29.14
13,New Brunswick,Nouveau-Brunswick,2020-03-31,70,0,0,70,2,9.01
12,Nova Scotia,Nouvelle-Écosse,2020-03-31,147,0,0,147,20,15.13
11,Prince Edward Island,Île-du-Prince-Édouard,2020-03-31,21,0,0,21,3,13.38
60,Yukon,Yukon,2020-03-31,5,0,0,5,0,12.24
61,Northwest Territories,Territoires du Nord-Ouest,2020-03-31,1,0,0,1,0,2.23
